# 
# simt, lat, lon
378.00000000,52.15144819,5.26619235
378.50000000,52.15198342,5.26513217
379.00000000,52.15251118,5.26406210
379.50000000,52.15303141,5.26298225
380.00000000,52.15354404,5.26189279
380.50000000,52.15404900,5.26079383
381.00000000,52.15454623,5.25968554
381.50000000,52.15503566,5.25856806
382.00000000,52.15551723,5.25744152
382.50000000,52.15599087,5.25630608
383.00000000,52.15645653,5.25516189
383.50000000,52.15691414,5.25400909
384.00000000,52.15736364,5.25284783
384.50000000,52.15780498,5.25167828
385.00000000,52.15823810,5.25050057
385.50000000,52.15866293,5.24931486
386.00000000,52.15907944,5.24812132
386.50000000,52.15948755,5.24692008
387.00000000,52.15988722,5.24571132
387.50000000,52.16027840,5.24449518
